               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.039809,           0.0027505,                   0,             0.74038,             0.61361,             0.66749,             0.40464,            0.020462,           0.0023375,                   0,           0.0048601,           0.0048601,           0.0048601
                 109,            0.039475,           0.0027437,                   0,              0.7406,             0.61361,             0.66763,             0.40624,            0.020457,           0.0023351,                   0,            0.004832,            0.004832,            0.004832
                 110,             0.03918,           0.0026745,                   0,             0.73887,             0.61209,             0.66788,             0.40634,            0.020448,           0.0023329,                   0,           0.0048038,           0.0048038,           0.0048038
                 111,            0.039034,           0.0026723,                   0,             0.73939,              0.6099,             0.66977,             0.40775,            0.020439,           0.0023307,                   0,           0.0047754,           0.0047754,           0.0047754
                 112,            0.038693,           0.0026186,                   0,             0.73603,             0.61497,             0.67198,             0.40794,            0.020437,           0.0023297,                   0,           0.0047468,           0.0047468,           0.0047468
                 113,            0.039092,           0.0027536,                   0,             0.73733,             0.61488,             0.67215,             0.40806,            0.020432,           0.0023282,                   0,           0.0047182,           0.0047182,           0.0047182
                 114,            0.038488,           0.0026337,                   0,             0.73029,             0.61905,             0.67122,             0.40715,            0.020423,           0.0023268,                   0,           0.0046894,           0.0046894,           0.0046894
                 115,            0.038917,           0.0027706,                   0,             0.72828,             0.61991,              0.6707,             0.40848,            0.020421,           0.0023262,                   0,           0.0046605,           0.0046605,           0.0046605
                 116,            0.038177,           0.0027049,                   0,             0.69815,             0.64195,             0.67117,              0.4086,             0.02042,           0.0023255,                   0,           0.0046315,           0.0046315,           0.0046315
                 117,            0.039267,           0.0026198,                   0,             0.70711,             0.63401,              0.6709,             0.40804,            0.020417,           0.0023256,                   0,           0.0046024,           0.0046024,           0.0046024
                 118,            0.037646,           0.0026518,                   0,             0.70881,             0.63256,             0.67068,             0.40817,            0.020418,            0.002326,                   0,           0.0045731,           0.0045731,           0.0045731
                 119,             0.03823,           0.0026084,                   0,             0.70191,             0.64075,              0.6715,             0.40815,            0.020418,           0.0023278,                   0,           0.0045437,           0.0045437,           0.0045437
                 120,            0.037239,           0.0025989,                   0,             0.71144,             0.63537,             0.67186,             0.40807,             0.02042,           0.0023305,                   0,           0.0045143,           0.0045143,           0.0045143
                 121,            0.037788,           0.0026098,                   0,              0.7089,             0.63673,             0.67139,              0.4091,            0.020417,           0.0023328,                   0,           0.0044847,           0.0044847,           0.0044847
                 122,            0.037876,           0.0026686,                   0,             0.70629,             0.63799,              0.6711,             0.40938,            0.020416,           0.0023364,                   0,            0.004455,            0.004455,            0.004455
                 123,            0.037605,           0.0025287,                   0,             0.69769,             0.64762,             0.67023,             0.40906,            0.020424,           0.0023361,                   0,           0.0044253,           0.0044253,           0.0044253
                 124,             0.03773,           0.0026244,                   0,             0.69766,             0.64762,             0.67116,               0.409,            0.020428,           0.0023367,                   0,           0.0043954,           0.0043954,           0.0043954
                 125,            0.037368,           0.0025564,                   0,             0.70133,             0.64218,             0.67134,             0.40944,            0.020426,           0.0023387,                   0,           0.0043654,           0.0043654,           0.0043654
                 126,            0.037217,           0.0025678,                   0,             0.69416,             0.64898,             0.67169,             0.40947,            0.020429,           0.0023386,                   0,           0.0043354,           0.0043354,           0.0043354
                 127,            0.037473,           0.0025311,                   0,             0.70059,             0.64308,             0.67163,             0.40903,            0.020421,           0.0023397,                   0,           0.0043053,           0.0043053,           0.0043053
                 128,              0.0381,           0.0026267,                   0,              0.6964,             0.64626,              0.6705,             0.40847,            0.020408,           0.0023404,                   0,           0.0042751,           0.0042751,           0.0042751
                 129,            0.037343,           0.0025883,                   0,             0.69968,              0.6449,              0.6704,             0.40951,            0.020395,           0.0023408,                   0,           0.0042448,           0.0042448,           0.0042448
                 130,            0.037164,            0.002542,                   0,             0.69714,             0.64626,             0.67073,              0.4091,            0.020382,           0.0023421,                   0,           0.0042144,           0.0042144,           0.0042144
                 131,            0.037046,           0.0025588,                   0,             0.70066,              0.6433,             0.66822,             0.40906,            0.020376,           0.0023438,                   0,            0.004184,            0.004184,            0.004184
                 132,            0.036903,           0.0024592,                   0,             0.69703,             0.64482,             0.66737,             0.40887,            0.020372,           0.0023453,                   0,           0.0041535,           0.0041535,           0.0041535
                 133,            0.036502,           0.0025429,                   0,              0.6995,             0.64626,             0.66742,             0.40911,            0.020365,            0.002348,                   0,           0.0041229,           0.0041229,           0.0041229
                 134,            0.037427,           0.0024225,                   0,             0.70043,             0.64626,             0.66801,             0.41004,            0.020361,           0.0023488,                   0,           0.0040923,           0.0040923,           0.0040923
                 135,            0.036079,           0.0024527,                   0,             0.70038,             0.64898,               0.668,             0.41039,            0.020356,            0.002348,                   0,           0.0040616,           0.0040616,           0.0040616
                 136,            0.036761,           0.0024941,                   0,             0.69811,             0.65125,              0.6677,             0.41121,            0.020352,           0.0023494,                   0,           0.0040309,           0.0040309,           0.0040309
                 137,            0.036191,           0.0025437,                   0,             0.70566,             0.64584,             0.66833,             0.41081,            0.020348,           0.0023519,                   0,           0.0040001,           0.0040001,           0.0040001
                 138,            0.037345,           0.0025001,                   0,              0.6952,             0.65165,             0.66824,             0.41076,            0.020338,           0.0023543,                   0,           0.0039692,           0.0039692,           0.0039692
                 139,            0.036161,           0.0025298,                   0,             0.69499,             0.65306,              0.6683,              0.4096,            0.020329,           0.0023554,                   0,           0.0039383,           0.0039383,           0.0039383
                 140,             0.03651,           0.0024878,                   0,             0.71256,             0.63537,             0.66792,             0.40965,            0.020329,           0.0023552,                   0,           0.0039074,           0.0039074,           0.0039074
                 141,            0.035962,           0.0024338,                   0,             0.70318,             0.64218,             0.66681,             0.40916,            0.020331,           0.0023549,                   0,           0.0038765,           0.0038765,           0.0038765
                 142,            0.035829,            0.002444,                   0,             0.72622,             0.62435,             0.66738,             0.40942,            0.020332,           0.0023551,                   0,           0.0038455,           0.0038455,           0.0038455
                 143,            0.035553,           0.0025044,                   0,             0.72929,             0.62309,             0.66736,             0.40958,            0.020329,           0.0023541,                   0,           0.0038144,           0.0038144,           0.0038144
                 144,            0.036351,           0.0024584,                   0,             0.72927,             0.62305,             0.66988,             0.40978,             0.02033,           0.0023541,                   0,           0.0037834,           0.0037834,           0.0037834
                 145,            0.035472,           0.0025018,                   0,             0.71109,             0.63537,             0.66669,             0.40958,            0.020333,           0.0023538,                   0,           0.0037523,           0.0037523,           0.0037523
                 146,            0.035145,           0.0024441,                   0,             0.73071,             0.62021,             0.66798,             0.41209,            0.020328,           0.0023537,                   0,           0.0037212,           0.0037212,           0.0037212
                 147,            0.035184,           0.0024416,                   0,             0.71936,             0.63123,             0.67114,             0.41257,             0.02033,           0.0023551,                   0,           0.0036901,           0.0036901,           0.0036901
                 148,             0.03553,           0.0024191,                   0,             0.71917,             0.63129,             0.66966,              0.4126,            0.020332,           0.0023563,                   0,            0.003659,            0.003659,            0.003659
                 149,            0.035643,           0.0024515,                   0,             0.72991,             0.62313,             0.66986,             0.41247,            0.020331,           0.0023578,                   0,           0.0036278,           0.0036278,           0.0036278
                 150,            0.035378,           0.0024083,                   0,             0.72853,             0.62449,              0.6699,             0.41238,            0.020334,           0.0023582,                   0,           0.0035967,           0.0035967,           0.0035967
                 151,            0.035375,           0.0023496,                   0,             0.72897,             0.62585,             0.67107,             0.41264,            0.020339,           0.0023573,                   0,           0.0035655,           0.0035655,           0.0035655
                 152,            0.035394,           0.0024621,                   0,             0.70923,             0.64218,             0.67111,             0.41183,            0.020346,           0.0023554,                   0,           0.0035344,           0.0035344,           0.0035344
                 153,             0.03569,           0.0023579,                   0,             0.73148,             0.62449,             0.67148,             0.41147,            0.020351,           0.0023564,                   0,           0.0035033,           0.0035033,           0.0035033
                 154,            0.035973,            0.002414,                   0,             0.73198,             0.62423,             0.67168,             0.41156,            0.020353,           0.0023614,                   0,           0.0034721,           0.0034721,           0.0034721
                 155,             0.03522,           0.0024506,                   0,             0.74114,             0.61361,             0.66769,             0.41033,            0.020355,           0.0023648,                   0,            0.003441,            0.003441,            0.003441
                 156,            0.034746,           0.0023717,                   0,             0.72337,             0.62857,             0.66778,             0.41024,             0.02035,           0.0023673,                   0,           0.0034099,           0.0034099,           0.0034099
                 157,            0.035245,           0.0023785,                   0,             0.71937,             0.63126,             0.66761,             0.41019,            0.020343,           0.0023698,                   0,           0.0033788,           0.0033788,           0.0033788
                 158,            0.034824,           0.0024169,                   0,             0.71342,             0.63401,             0.66746,             0.40977,            0.020338,           0.0023716,                   0,           0.0033477,           0.0033477,           0.0033477
                 159,            0.034569,            0.002347,                   0,             0.71765,             0.62993,             0.66709,             0.40935,            0.020342,           0.0023734,                   0,           0.0033166,           0.0033166,           0.0033166
                 160,            0.035187,            0.002344,                   0,             0.72026,             0.62706,             0.66828,             0.40931,            0.020345,           0.0023756,                   0,           0.0032856,           0.0032856,           0.0032856
                 161,            0.034104,           0.0023431,                   0,             0.72026,             0.62704,             0.66771,             0.40883,            0.020337,           0.0023785,                   0,           0.0032546,           0.0032546,           0.0032546
