   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.73321,              0.6246,             0.67163,             0.35007,            0.044165,           0.0030479,                   0,             0.00945,             0.10323,             0.91035,             0.00083,                2.55,             0.67016,             0.08479,             0.04687,             0.58939,             0.66566,             0.95472,              1.1356,                 0.2,              4.1055,                   0,             0.01438,             0.53701,             0.53514,                   0,              0.0814,             0.53544,                   0,                   0,                   0,                 0.5,             0.98015,                   0,                   0,              2.5667
             0.75133,             0.54936,             0.63775,             0.33783,            0.047862,           0.0039263,                   0,             0.00981,              0.1124,             0.92794,             0.00085,               3.744,             0.79526,             0.10108,             0.05028,             0.59038,             0.82753,              1.1021,              1.2918,                 0.2,              4.1055,                   0,             0.01474,             0.66732,             0.42432,                   0,             0.09005,             0.49262,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6289
             0.74251,             0.52053,             0.60866,             0.32988,            0.046214,           0.0035872,                   0,             0.01102,             0.10564,             0.89267,             0.00082,              3.8204,             0.86805,             0.10108,             0.05073,             0.65044,             0.81819,              1.0494,              1.1636,                 0.2,              3.4976,                   0,             0.01504,             0.67811,             0.40119,                   0,             0.09114,             0.45915,                   0,                   0,                   0,                 0.5,             0.71629,                   0,                   0,               2.168
             0.77028,             0.60965,              0.6848,             0.34603,            0.046479,           0.0042064,                   0,             0.00703,             0.11413,             0.91231,             0.00086,              3.8487,             0.86446,             0.09908,              0.0499,             0.58407,             0.94435,              1.2658,              1.2929,                 0.2,              4.1055,                   0,             0.01438,             0.54059,              0.4404,                   0,             0.08056,             0.40699,                   0,                   0,                   0,                 0.5,             0.85016,                   0,                   0,               3.189
             0.77027,             0.57185,              0.6624,             0.31537,            0.055434,           0.0043775,                   0,             0.00945,             0.11031,             0.93271,             0.00067,              3.7306,             0.94591,             0.09653,             0.05487,             0.61342,             0.81505,              1.1453,              1.3611,                 0.2,              4.4654,                   0,             0.01502,             0.54797,              0.4307,                   0,              0.0696,             0.53726,                   0,                   0,                   0,                 0.5,             0.98015,                   0,                   0,              3.3069
             0.73967,              0.6173,             0.66549,             0.33709,            0.048436,           0.0044053,                   0,             0.00945,             0.12099,             0.91337,             0.00085,              3.4255,             0.75152,             0.09955,             0.05084,             0.54744,             0.82753,              1.1893,              1.3098,                 0.2,              4.1055,                   0,             0.01438,             0.67811,             0.46615,                   0,             0.08173,             0.48386,                   0,                   0,                   0,                 0.5,             0.98496,                   0,                   0,              2.5667
             0.72074,             0.57918,             0.62931,              0.3152,            0.052659,           0.0040979,                   0,             0.00952,             0.11926,             0.95059,             0.00083,              3.8571,             0.69303,             0.10108,             0.05184,             0.59991,             0.82301,               1.107,              1.3216,                 0.2,              4.1055,                   0,             0.01452,             0.67378,              0.4307,                   0,             0.08773,             0.43897,                   0,                   0,                   0,                 0.5,             0.91526,                   0,                   0,              2.5667
             0.75851,             0.59677,             0.66119,             0.34411,            0.045763,           0.0037467,                   0,             0.00945,             0.11413,             0.88645,             0.00074,              4.3795,             0.67884,             0.09513,             0.04961,             0.63336,             0.83306,              1.0824,              1.2918,                 0.2,              3.6906,                   0,             0.01273,             0.73167,             0.42323,                   0,             0.10996,             0.54389,                   0,                   0,                   0,                 0.5,             0.93456,                   0,                   0,              2.5667
             0.66911,             0.63196,             0.65463,             0.33632,            0.048816,           0.0038615,                   0,             0.01007,             0.09855,             0.94243,             0.00084,              3.6317,             0.84155,             0.10546,             0.05073,             0.58947,             0.86436,              1.1123,              1.2788,                 0.2,              4.0793,                   0,             0.01357,             0.67958,             0.46851,                   0,             0.08506,             0.49842,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.7588
             0.69984,             0.59531,             0.64224,             0.31386,            0.047442,            0.003796,                   0,             0.00945,             0.11413,             0.93736,               0.001,              2.9655,             0.69301,             0.12621,             0.04769,             0.38269,              1.0853,               1.107,              1.2406,                 0.2,              4.1055,                   0,             0.01585,             0.64261,             0.50909,                   0,             0.10223,             0.52009,                   0,                   0,                   0,                 0.5,              0.9853,                   0,                   0,                   2
