   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.58931,             0.36463,             0.38016,             0.16109,            0.020468,           0.0034913,                   0,             0.00991,             0.10142,             0.94339,             0.00064,               2.465,             0.43619,             0.11125,             0.03565,              0.3849,              0.8843,                1.37,              1.2989,                 0.2,              3.2544,                   0,              0.0221,             0.69427,             0.49924,                   0,             0.07372,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               3.334
             0.72967,             0.50679,             0.56409,             0.28288,            0.018294,           0.0028857,                   0,             0.00777,             0.08034,             0.88172,             0.00065,              3.1036,             0.61524,             0.09995,             0.03565,             0.36894,             0.96728,              1.5081,              1.3554,                 0.2,              2.8232,                   0,             0.02158,              0.7543,             0.57296,                   0,             0.09505,             0.71821,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.66735,              0.5415,             0.57182,             0.30809,             0.01515,           0.0022139,                   0,              0.0059,             0.06083,             0.86679,             0.00068,               2.252,             0.62281,             0.09995,              0.0307,             0.39879,             0.93466,              1.2465,              1.2424,                 0.2,              2.8211,                   0,             0.02682,             0.65801,             0.53002,                   0,             0.09223,             0.69156,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.1366
             0.69001,             0.44354,               0.512,              0.2463,            0.028941,           0.0025922,                   0,             0.00652,             0.07404,              0.8603,             0.00026,              2.7579,             0.74936,             0.12512,             0.04981,             0.62225,              1.0697,              1.1398,              1.1671,                 0.2,              5.5692,                   0,             0.01537,             0.67724,             0.39391,                   0,             0.05325,             0.41911,                   0,                   0,                   0,                 0.5,              0.9984,                   0,                   0,              2.0598
             0.63457,             0.46939,              0.5042,               0.256,            0.029832,           0.0026598,                   0,              0.0079,             0.07387,             0.89948,             0.00029,              1.4406,             0.71922,             0.12955,             0.05003,             0.78091,             0.92297,              1.4674,              0.8267,                 0.2,              6.2285,                   0,             0.01588,             0.71656,             0.39508,                   0,             0.07528,              0.5007,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.0598
             0.56909,             0.44082,             0.45126,             0.23472,            0.028915,           0.0026503,                   0,             0.00647,             0.07629,             0.86383,             0.00027,              2.6916,             0.75567,             0.12854,             0.04967,             0.61542,               1.104,              1.1677,              1.1606,                 0.2,              5.2511,                   0,             0.01588,             0.71958,             0.36459,                   0,             0.05346,             0.41848,                   0,                   0,                   0,                 0.5,             0.95132,                   0,                   0,              2.1982
             0.58667,             0.47698,             0.48253,             0.24977,            0.028268,           0.0025353,                   0,             0.00696,             0.07387,             0.81753,             0.00026,              2.5573,             0.75475,             0.12531,             0.05003,             0.62271,              1.0213,              1.0222,              1.1839,                 0.2,              4.9764,                   0,             0.01699,             0.75775,              0.3786,                   0,             0.05082,             0.43531,                   0,                   0,                   0,                 0.5,             0.90285,                   0,                   0,                   2
             0.59124,             0.48844,             0.48723,             0.24791,             0.02516,           0.0026325,                   0,             0.00644,             0.08633,              0.8627,             0.00023,              2.8592,             0.83614,              0.1144,             0.04406,             0.51649,              1.0633,              1.0543,              1.1767,                 0.2,              5.6438,                   0,             0.01382,             0.64487,             0.36456,                   0,             0.05723,             0.41911,                   0,                   0,                   0,                 0.5,             0.95005,                   0,                   0,              2.9043
             0.62494,             0.45567,             0.48101,              0.2519,            0.028337,           0.0027858,                   0,             0.00631,             0.07387,             0.84588,             0.00028,              2.7579,             0.73072,             0.12672,             0.05036,             0.60308,              1.0853,              1.1633,              1.2745,                 0.2,              5.1756,                   0,             0.01588,             0.70089,              0.3786,                   0,             0.05489,             0.41252,                   0,                   0,                   0,                 0.5,             0.92415,                   0,                   0,              2.0057
             0.62748,             0.50068,             0.54001,             0.28288,            0.027224,           0.0026276,                   0,             0.00545,             0.07387,             0.83776,             0.00027,              2.0299,             0.77467,              0.0986,             0.05003,             0.66049,              1.0825,              1.3146,              1.0433,                 0.2,              5.0623,                   0,             0.01653,               0.694,             0.34887,                   0,             0.05407,             0.41125,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4786
             0.51054,             0.46939,             0.47118,             0.24165,            0.028718,           0.0028609,                   0,             0.00638,             0.07473,             0.85114,             0.00025,              2.3103,              0.7925,             0.12807,             0.05003,             0.58708,              1.0697,              1.2917,              1.1767,                 0.2,              4.3467,                   0,              0.0145,             0.72278,             0.40287,                   0,             0.04663,             0.31617,                   0,                   0,                   0,                 0.5,             0.92191,                   0,                   0,              2.0288
             0.65651,              0.5034,             0.54094,             0.27333,            0.027429,           0.0026161,                   0,             0.00632,             0.07382,             0.85988,             0.00027,              2.7811,              0.7496,             0.13066,             0.05003,             0.61487,              1.0535,              1.1694,              1.1767,                 0.2,              5.2311,                   0,             0.01588,             0.71656,             0.37644,                   0,             0.05509,             0.42387,                   0,                   0,                   0,                 0.5,             0.94962,                   0,                   0,              2.0471
             0.63314,             0.44218,             0.49704,             0.24644,            0.028892,           0.0026727,                   0,             0.00633,             0.07361,              0.8627,             0.00027,              2.7675,             0.75571,             0.12955,              0.0508,             0.59538,               1.076,               1.183,              1.1817,                 0.2,              5.2197,                   0,             0.01566,             0.71251,              0.3786,                   0,             0.05407,             0.42166,                   0,                   0,                   0,                 0.5,             0.95719,                   0,                   0,              2.1476
             0.65839,             0.50204,             0.54369,             0.27894,            0.027402,            0.002416,                   0,             0.00683,             0.06259,              0.8627,             0.00027,               2.841,             0.84456,             0.12837,             0.04949,             0.59361,             0.98086,              1.0067,              1.3238,                 0.2,              5.3849,                   0,             0.01479,             0.70227,             0.34713,                   0,             0.05407,             0.52196,                   0,                   0,                   0,                 0.5,             0.89713,                   0,                   0,                   2
             0.62208,              0.5151,             0.53206,             0.27201,            0.026317,           0.0026034,                   0,             0.00522,             0.07387,              0.8627,             0.00035,              2.6949,             0.58213,             0.13379,             0.04742,             0.67022,             0.89782,              1.1633,              1.1278,                 0.2,              5.1527,                   0,             0.01723,             0.71934,              0.3786,                   0,             0.05407,             0.49992,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.097
             0.56439,             0.46395,             0.46468,             0.24396,            0.028829,           0.0028205,                   0,             0.00682,             0.07043,              0.8649,             0.00027,              2.7579,             0.75475,             0.12955,             0.05003,             0.55298,               1.009,              1.1125,              1.2592,                 0.2,              5.1733,                   0,             0.01611,             0.76582,             0.35403,                   0,             0.05412,             0.39939,                   0,                   0,                   0,                 0.5,             0.90976,                   0,                   0,              2.0181
               0.639,             0.44354,             0.50027,             0.27076,            0.027012,           0.0025718,                   0,              0.0072,             0.07949,             0.80415,             0.00023,              2.7579,             0.72695,             0.10241,             0.04939,             0.60308,             0.90464,              1.0024,              1.3209,                 0.2,              5.2217,                   0,             0.01807,             0.63676,             0.33829,                   0,             0.06883,              0.3334,                   0,                   0,                   0,                 0.5,             0.85566,                   0,                   0,              2.0598
             0.67998,             0.50204,             0.55161,             0.28224,            0.028755,           0.0025324,                   0,             0.00652,             0.07387,             0.85502,             0.00027,              2.8854,              0.7768,             0.13154,             0.05188,             0.65998,              1.1449,              1.1633,               1.143,                 0.2,              4.8682,                   0,             0.01617,             0.71656,             0.38212,                   0,             0.05601,             0.44562,                   0,                   0,                   0,                 0.5,             0.99301,                   0,                   0,               2.269
               0.621,             0.45986,             0.49292,             0.25378,             0.02616,            0.002795,                   0,             0.00433,             0.08931,             0.89657,             0.00027,              2.3409,             0.78573,             0.14342,             0.05003,             0.59068,              1.0342,              1.4879,             0.93116,                 0.2,               3.625,                   0,             0.01399,             0.59219,              0.3786,                   0,             0.05227,             0.41911,                   0,                   0,                   0,                 0.5,             0.84782,                   0,                   0,                   2
             0.67478,             0.48836,             0.52406,             0.26196,            0.028569,           0.0026506,                   0,             0.00638,             0.07536,             0.87044,              0.0003,              2.7431,             0.76298,             0.13102,             0.04958,             0.63895,              1.0532,              1.1633,              1.1767,                 0.2,              5.2217,                   0,             0.01588,             0.74506,             0.36414,                   0,             0.05298,             0.41911,                   0,                   0,                   0,                 0.5,             0.94614,                   0,                   0,                   2
             0.70464,             0.43537,             0.51477,             0.25483,            0.029306,             0.00262,                   0,             0.00651,             0.07436,              0.8633,             0.00027,              2.7605,             0.75128,             0.12955,              0.0511,              0.5859,              1.0491,              1.1633,              1.1779,                 0.2,              5.2217,                   0,             0.01614,             0.71523,              0.3786,                   0,             0.05591,             0.39937,                   0,                   0,                   0,                 0.5,             0.97775,                   0,                   0,              2.0899
